nm, Ga, In
214.287, 11.658, 88.342
214.81, 17.4961, 82.5039
215.332, 32.3351, 67.6649
215.855, 0, 100
216.378, 5.94965, 94.0503
216.9, 0, 100
217.423, 27.8428, 72.1572
217.946, 13.2136, 86.7864
218.468, 0, 100
218.991, 19.448, 80.552
219.514, 7.44417, 92.5558
220.036, 10.0156, 89.9844
220.559, 21.3602, 78.6398
221.082, 8.24218, 91.7578
221.604, 16.5218, 83.4782
222.127, 16.32, 83.68
222.65, 0, 100
223.172, 7.82458, 92.1754
223.695, 7.92415, 92.0759
224.217, 0, 100
224.74, 8.48621, 91.5138
225.263, 0, 100
225.785, 19.4144, 80.5856
226.308, 7.34646, 92.6535
226.831, 9.94004, 90.06
227.353, 0, 100
227.876, 4.90634, 95.0937
228.399, 1.86594, 98.1341
228.921, 0, 100
229.444, 2.76693, 97.2331
229.967, 6.10219, 93.8978
