nm, P, As
277.371, 90.7958, 9.2042
277.876, 80.5549, 19.4451
278.382, 85.6122, 14.3878
278.887, 79.1557, 20.8443
279.392, 78.4654, 21.5346
279.897, 81.7768, 18.2232
280.402, 89.6068, 10.3932
280.908, 84.5483, 15.4517
281.413, 82.0406, 17.9594
281.918, 83.6683, 16.3317
282.423, 84.045, 15.955
282.929, 84.1331, 15.8669
283.434, 78.8546, 21.1454
283.939, 89.9084, 10.0916
284.444, 85.5802, 14.4198
284.95, 65.1302, 34.8698
285.455, 79.0413, 20.9587
285.96, 86.8201, 13.1799
286.465, 80.9933, 19.0067
286.97, 82.8474, 17.1526
287.476, 78.4376, 21.5624
287.981, 76.8082, 23.1918
288.486, 68.346, 31.654
288.991, 90.497, 9.50302
289.497, 79.424, 20.576
290.002, 89.1032, 10.8968
290.507, 80.4796, 19.5204
291.012, 91.8195, 8.18052
291.518, 78.1665, 21.8335
292.023, 81.1024, 18.8976
292.528, 97.0047, 2.99528
293.033, 66.588, 33.412
293.538, 80.3488, 19.6512
294.044, 85.0698, 14.9302
294.549, 85.3872, 14.6128
295.054, 90.9238, 9.07617
295.559, 87.7594, 12.2406
296.065, 94.2132, 5.78677
296.57, 86.8469, 13.1531
297.075, 93.4661, 6.53387
297.58, 86.7094, 13.2906
298.086, 83.7607, 16.2393
298.591, 91.7501, 8.24987
299.096, 88.8656, 11.1344
299.601, 83.1513, 16.8487
300.106, 85.332, 14.668
300.612, 95.3234, 4.67658
301.117, 81.4797, 18.5203
301.622, 89.9789, 10.0211
302.127, 92.1826, 7.81738
302.633, 82.3866, 17.6134
303.138, 86.5763, 13.4237
303.643, 78.1889, 21.8111
304.148, 81.3908, 18.6092
304.654, 100, 0
305.159, 79.2602, 20.7398
305.664, 85.1099, 14.8901
306.169, 98.4948, 1.50519
306.674, 84.5974, 15.4026
307.18, 86.9795, 13.0205
307.685, 90.052, 9.94802
308.19, 85.6786, 14.3214
308.695, 89.1238, 10.8762
309.201, 82.9047, 17.0953
309.706, 92.6409, 7.35906
310.211, 91.4673, 8.53272
310.716, 81.9236, 18.0764
311.221, 89.0921, 10.9079
311.727, 94.3629, 5.6371
312.232, 87.4236, 12.5764
312.737, 96.8192, 3.18081
313.242, 89.4379, 10.5621
313.748, 86.3653, 13.6347
314.253, 90.9575, 9.04251
314.758, 91.2688, 8.73118
315.263, 91.9457, 8.05434
315.769, 86.129, 13.871
316.274, 82.3757, 17.6243
316.779, 81.9993, 18.0007
317.284, 83.5316, 16.4684
317.789, 76.8147, 23.1853
318.295, 88.481, 11.519
318.8, 93.3226, 6.67742
319.305, 91.8663, 8.13373
319.81, 89.4952, 10.5048
320.316, 94.2314, 5.76858
320.821, 92.9742, 7.02581
321.326, 90.4166, 9.58337
321.831, 88.3659, 11.6341
322.337, 87.8716, 12.1284
322.842, 90.4439, 9.55609
323.347, 86.5547, 13.4453
323.852, 83.2703, 16.7297
324.357, 87.4333, 12.5667
324.863, 90.8833, 9.11672
325.368, 83.492, 16.5081
325.873, 92.6554, 7.34464
326.378, 81.4504, 18.5496
326.884, 88.0343, 11.9657
327.389, 92.6467, 7.35328
327.894, 85.804, 14.196
328.399, 84.9798, 15.0202
328.905, 83.9074, 16.0926
329.41, 84.8608, 15.1392
329.915, 90.1238, 9.87616
330.42, 90.0611, 9.93885
330.925, 84.4894, 15.5106
331.431, 85.2434, 14.7566
331.936, 85.4862, 14.5138
332.441, 91.0131, 8.9869
332.946, 92.3783, 7.62165
333.452, 95.6471, 4.35287
333.957, 93.8727, 6.12733
334.462, 89.7303, 10.2697
334.967, 90.5122, 9.48777
335.473, 93.1505, 6.84951
335.978, 88.0426, 11.9574
336.483, 97.124, 2.87598
336.988, 77.0814, 22.9186
337.493, 87.7289, 12.2711
337.999, 89.7897, 10.2103
338.504, 85.4171, 14.5829
339.009, 85.0637, 14.9363
339.514, 93.7568, 6.24321
