Wavelength,Intensity
1428.72267,187
1429.046733,188
1429.370791,198
1429.694847,195
1430.018898,202
1430.342946,194
1430.666991,199
1430.991032,203
1431.315069,189
1431.639102,185
1431.963132,201
1432.287158,196
1432.61118,203
1432.935199,201
1433.259214,190
1433.583225,199
1433.907233,205
1434.231237,188
1434.555237,185
1434.879234,195
1435.203226,213
1435.527216,214
1435.851201,221
1436.175183,210
1436.499161,213
1436.823135,201
1437.147106,206
1437.471073,193
1437.795036,218
1438.118996,203
1438.442952,219
1438.766904,225
1439.090852,217
1439.414797,208
1439.738738,229
1440.062675,240
1440.386609,212
1440.710538,208
1441.034465,228
1441.358387,216
1441.682305,228
1442.00622,214
1442.330131,232
1442.654039,231
1442.977942,223
1443.301842,225
1443.625738,224
1443.94963,229
1444.273519,227
1444.597404,234
1444.921285,234
1445.245162,222
1445.569035,236
1445.892905,202
1446.216771,230
1446.540633,209
1446.864491,244
1447.188346,239
1447.512197,241
1447.836044,235
1448.159887,240
1448.483726,235
1448.807562,245
1449.131394,242
1449.455222,246
1449.779046,244
1450.102866,242
1450.426683,242
1450.750496,239
1451.074305,223
1451.39811,235
1451.721911,253
1452.045709,244
1452.369502,235
1452.693292,253
1453.017078,245
1453.34086,264
1453.664639,255
1453.988413,252
1454.312184,266
1454.635951,256
1454.959714,246
1455.283473,251
1455.607229,262
1455.93098,270
1456.254728,252
1456.578471,257
1456.902211,276
1457.225947,273
1457.54968,270
1457.873408,274
1458.197132,269
1458.520853,273
1458.84457,285
1459.168282,270
1459.491991,290
1459.815697,271
1460.139398,282
1460.463095,266
1460.786788,283
1461.110478,291
1461.434164,283
1461.757845,286
1462.081523,283
1462.405197,269
1462.728867,277
1463.052533,294
1463.376196,274
1463.699854,287
1464.023508,276
1464.347159,293
1464.670805,279
1464.994448,275
1465.318087,284
1465.641722,283
1465.965353,286
1466.28898,297
1466.612603,297
1466.936222,300
1467.259837,292
1467.583448,302
1467.907055,306
1468.230659,302
1468.554258,288
1468.877854,286
1469.201445,301
1469.525033,287
1469.848616,292
1470.172196,306
1470.495771,310
1470.819343,320
1471.142911,296
1471.466475,303
1471.790034,325
1472.11359,319
1472.437142,308
1472.76069,315
1473.084234,331
1473.407774,318
1473.73131,319
1474.054841,321
1474.378369,330
1474.701893,329
1475.025413,302
1475.348929,326
1475.672441,327
1475.995949,329
1476.319453,325
1476.642953,349
1476.966449,337
1477.289941,325
1477.613429,334
1477.936912,333
1478.260392,332
1478.583868,335
1478.90734,327
1479.230808,342
1479.554271,330
1479.877731,344
1480.201187,352
1480.524638,335
1480.848086,361
1481.171529,356
1481.494969,338
1481.818404,360
1482.141836,351
1482.465263,346
1482.788686,359
1483.112105,359
1483.435521,358
1483.758932,349
1484.082339,354
1484.405742,351
1484.729141,345
1485.052535,379
1485.375926,362
1485.699313,379
1486.022695,362
1486.346074,364
1486.669448,359
1486.992819,379
1487.316185,379
1487.639547,366
1487.962905,386
1488.286259,392
1488.609609,380
1488.932955,377
1489.256296,371
1489.579634,385
1489.902967,379
1490.226297,370
1490.549622,390
1490.872943,390
1491.19626,386
1491.519573,387
1491.842881,394
1492.166186,407
1492.489487,381
1492.812783,397
1493.136075,401
1493.459363,402
1493.782647,416
1494.105927,401
1494.429202,406
1494.752474,411
1495.075741,412
1495.399004,415
1495.722263,420
1496.045518,429
1496.368769,403
1496.692016,405
1497.015258,413
1497.338496,422
1497.66173,434
1497.98496,428
1498.308186,419
1498.631407,424
1498.954625,418
1499.277838,428
1499.601047,439
1499.924252,436
1500.247452,433
1500.570649,451
1500.893841,438
1501.217029,454
1501.540213,431
1501.863392,432
1502.186568,444
1502.509739,459
1502.832906,432
1503.156069,477
1503.479227,449
1503.802382,449
1504.125532,461
1504.448678,443
1504.77182,465
1505.094957,456
1505.41809,449
1505.741219,472
1506.064344,467
1506.387465,466
1506.710581,468
1507.033693,476
1507.356801,480
1507.679904,461
1508.003004,490
1508.326099,483
1508.64919,479
1508.972276,476
1509.295359,494
1509.618437,494
1509.94151,493
1510.26458,493
1510.587645,505
1510.910706,512
1511.233763,493
1511.556815,511
1511.879864,494
1512.202907,499
1512.525947,498
1512.848982,506
1513.172013,491
1513.49504,505
1513.818063,518
1514.141081,512
1514.464095,514
1514.787104,522
1515.110109,541
1515.43311,515
1515.756107,525
1516.079099,538
1516.402087,545
1516.725071,529
1517.04805,533
1517.371025,532
1517.693996,564
1518.016963,533
1518.339925,537
1518.662882,556
1518.985836,538
1519.308785,543
1519.63173,552
1519.95467,544
1520.277606,557
1520.600538,546
1520.923465,565
1521.246388,569
1521.569307,570
1521.892221,561
1522.215131,557
1522.538037,574
1522.860938,581
1523.183835,560
1523.506728,560
1523.829616,587
1524.1525,586
1524.475379,596
1524.798254,592
1525.121125,594
1525.443991,578
1525.766853,591
1526.089711,583
1526.412564,606
1526.735412,606
1527.058257,577
1527.381097,604
1527.703932,606
1528.026763,600
1528.34959,622
1528.672412,624
1528.99523,605
1529.318044,621
1529.640853,626
1529.963658,623
1530.286458,637
1530.609254,624
1530.932045,628
1531.254832,630
1531.577615,626
1531.900393,637
1532.223167,619
1532.545936,628
1532.868701,615
1533.191461,629
1533.514217,627
1533.836969,631
1534.159716,629
1534.482458,648
1534.805196,651
1535.12793,654
1535.450659,645
1535.773384,653
1536.096104,669
1536.41882,649
1536.741532,668
1537.064239,669
1537.386941,659
1537.709639,677
1538.032333,678
1538.355022,684
1538.677706,659
1539.000386,671
1539.323062,679
1539.645733,677
1539.968399,704
1540.291062,683
1540.613719,687
1540.936372,676
1541.259021,695
1541.581665,695
1541.904305,696
1542.22694,694
1542.54957,702
1542.872196,675
1543.194818,708
1543.517435,710
1543.840047,720
1544.162655,713
1544.485259,703
1544.807858,709
1545.130452,721
1545.453042,699
1545.775627,711
1546.098208,700
1546.420784,728
1546.743356,721
1547.065923,720
1547.388486,734
1547.711044,745
1548.033597,741
1548.356146,743
1548.678691,747
1549.00123,737
1549.323766,753
1549.646296,741
1549.968823,736
1550.291344,752
1550.613861,770
1550.936373,760
1551.258881,755
1551.581385,744
1551.903883,751
1552.226377,750
