wavelength, intensity
1475.6724410811800, 931
1475.9959490095200, 944
1476.3194529316700, 950
1476.6429528451500, 946
1476.966448747500, 952
1477.2899406362400, 929
1477.613428508900, 931
1477.9369123630100, 918
1478.2603921960900, 923
1478.5838680056700, 947
1478.9073397892900, 965
1479.2308075444600, 943
1479.5542712687300, 946
1479.877730959600, 952
1480.2011866146200, 942
1480.5246382313200, 941
1480.8480858072100, 950
1481.1715293398300, 942
1481.4949688267100, 950
1481.8184042653800, 942
1482.1418356533600, 953
1482.4652629881900, 941
1482.7886862673900, 944
1483.1121054884900, 954
1483.4355206490200, 966
1483.7589317465100, 959
1484.082338778500, 942
1484.405741742500, 948
1484.7291406360500, 951
1485.0525354566800, 964
1485.3759262019100, 954
1485.6993128692900, 942
1486.0226954563300, 943
1486.3460739605700, 949
1486.6694483795400, 923
1486.9928187107600, 911
1487.3161849517700, 945
1487.639547100100, 936
1487.9629051532800, 950
1488.2862591088400, 923
1488.609608964300, 930
1488.932954717200, 955
1489.2562963650800, 925
1489.5796339054500, 937
1489.9029673358600, 926
1490.2262966538300, 929
1490.5496218568900, 934
1490.8729429425800, 940
1491.1962599084300, 916
1491.5195727519600, 932
1491.8428814707100, 915
1492.1661860622100, 914
1492.4894865239900, 919
1492.8127828535800, 922
1493.1360750485200, 905
1493.4593631063400, 901
1493.7826470245600, 901
1494.1059268007200, 907
1494.4292024323600, 905
1494.75247391700, 902
1495.0757412521800, 894
1495.3990044354200, 881
1495.7222634642700, 888
1496.0455183362500, 890
1496.368769048900, 881
1496.6920155997400, 891
1497.0152579863200, 880
1497.3384962061600, 881
1497.661730256800, 881
1497.9849601357700, 886
1498.308185840600, 865
1498.6314073688300, 871
1498.9546247179900, 858
1499.2778378856100, 853
1499.6010468692300, 833
1499.9242516663800, 842
1500.2474522745900, 842
1500.570648691400, 832
1500.8938409143400, 833
1501.2170289409500, 846
1501.5402127687600, 825
1501.8633923952900, 834
1502.186567818100, 812
1502.509739034700, 821
1502.8329060426500, 816
1503.1560688394600, 813
1503.4792274226700, 802
1503.8023817898300, 802
1504.1255319384600, 799
1504.448677866100, 791
1504.7718195702800, 792
1505.0949570485400, 778
1505.4180902984100, 771
1505.7412193174300, 771
1506.0643441031300, 768
1506.3874646530600, 778
1506.7105809647300, 771
1507.033693035700, 748
1507.3568008634900, 747
1507.6799044456500, 747
1508.003003779700, 735
1508.3260988631800, 745
1508.6491896936300, 747
1508.9722762685900, 719
1509.2953585855800, 715
1509.6184366421600, 725
1509.9415104358400, 698
1510.2645799641800, 707
1510.587645224700, 706
1510.9107062149400, 692
1511.2337629324400, 698
1511.5568153747400, 680
1511.8798635393700, 691
1512.2029074238700, 659
1512.5259470257800, 670
1512.8489823426300, 661
1513.1720133719700, 660
1513.4950401113200, 666
1513.8180625582200, 659
1514.1410807102200, 644
1514.4640945648500, 636
1514.7871041196500, 627
1515.1101093721500, 638
1515.433110319900, 634
1515.7561069604300, 610
1516.0790992912800, 612
1516.4020873099900, 588
1516.7250710140900, 596
1517.0480504011300, 590
1517.3710254686400, 587
1517.6939962141600, 577
1518.0169626352400, 593
1518.339924729400, 575
1518.6628824941800, 571
1518.9858359271400, 569
1519.308785025800, 547
1519.631729787700, 547
1519.9546702103900, 538
1520.277606291400, 549
1520.6005380282800, 538
1520.9234654185500, 530
1521.2463884597700, 517
1521.5693071494700, 513
1521.8922214851800, 510
1522.2151314644600, 510
1522.5380370848400, 501
1522.8609383438500, 501
1523.1838352390500, 496
1523.5067277679700, 501
1523.8296159281500, 477
1524.1524997171300, 477
1524.4753791324500, 461
1524.7982541716500, 466
1525.1211248322800, 475
1525.4439911118700, 445
1525.7668530079600, 471
1526.089710518100, 443
1526.4125636398300, 435
1526.7354123706800, 427
1527.058256708200, 440
1527.3810966499400, 405
1527.7039321934200, 422
1528.026763336200, 409
1528.3495900758100, 423
1528.672412409800, 410
1528.995230335700, 407
1529.3180438510700, 387
1529.6408529534400, 388
1529.9636576403500, 393
1530.2864579093500, 388
1530.6092537579800, 370
1530.9320451837800, 373
1531.2548321842900, 360
1531.5776147570600, 373
1531.9003928996300, 365
1532.2231666095400, 368
1532.5459358843400, 347
1532.8687007215600, 372
1533.1914611187500, 329
1533.5142170734600, 346
1533.8369685832200, 335
1534.1597156455900, 330
1534.482458258100, 331
1534.805196418300, 331
1535.1279301237200, 320
1535.4506593719300, 300
1535.7733841604500, 296
1536.0961044868300, 321
1536.4188203486200, 294
1536.7415317433700, 302
1537.064238668600, 286
1537.3869411218800, 274
1537.7096391007400, 290
1538.0323326027300, 270
1538.355021625400, 277
1538.6777061662800, 294
1539.0003862229200, 274
1539.3230617928800, 272
1539.6457328736800, 259
1539.9683994628900, 267
1540.2910615580300, 260
1540.6137191566700, 248
1540.9363722563400, 247
1541.2590208545900, 261
1541.5816649489600, 242
1541.9043045370100, 260
1542.2269396162700, 248
1542.549570184300, 230
1542.8721962386400, 236
1543.1948177768300, 252
1543.5174347964200, 228
1543.8400472949600, 219
1544.1626552699900, 220
1544.4852587190700, 220
1544.8078576397300, 219
1545.1304520295300, 212
1545.45304188600, 213
1545.7756272067100, 220
1546.0982079891900, 222
1546.4207842309900, 206
1546.7433559296700, 200
1547.0659230827600, 207
1547.3884856878100, 196
1547.7110437423800, 192
1548.03359724400, 191
1548.3561461902400, 206
1548.6786905786200, 191
1549.0012304067200, 188
1549.3237656720600, 183
1549.646296372200, 175
1549.9688225046900, 166
1550.2913440670800, 160
1550.6138610569100, 172
1550.9363734717300, 176
1551.258881309100, 170
1551.5813845665600, 167
1551.9038832416500, 176
1552.2263773319400, 159
1552.5488668349600, 155
1552.8713517482800, 174
1553.1938320694200, 163
1553.5163077959600, 164
1553.8387789254200, 163
1554.1612454553800, 147
1554.4837073833700, 153
1554.8061647069400, 146
1555.1286174236500, 140
1555.4510655310400, 146
1555.7735090266600, 151
1556.0959479080700, 135
1556.4183821728200, 144
1556.7408118184500, 145
1557.0632368425200, 145
1557.3856572425800, 143
1557.7080730161700, 136
1558.0304841608500, 125
1558.3528906741800, 138
1558.6752925536900, 128
1558.9976897969400, 120
1559.3200824014900, 118
1559.6424703648800, 124
1559.9648536846700, 114
1560.2872323584100, 108
1560.6096063836500, 125
1560.9319757579300, 130
1561.2543404788200, 123
1561.5767005438700, 117
1561.8990559506200, 109
1562.2214066966400, 119
1562.5437527794600, 104
1562.8660941966500, 118
1563.1884309457600, 117
1563.5107630243400, 114
1563.8330904299300, 102
1564.1554131601100, 109
1564.4777312124100, 107
1564.800044584400, 116
1565.1223532736200, 90
1565.4446572776300, 98
1565.7669565939800, 105
1566.0892512202200, 106
1566.4115411539200, 89
1566.7338263926100, 88
1567.0561069338600, 99
1567.3783827752300, 91
1567.7006539142500, 89
1568.022920348500, 89
1568.3451820755200, 93
1568.6674390928600, 97
1568.9896913980900, 85
1569.3119389887600, 81
1569.6341818624100, 89
1569.9564200166100, 87
1570.2786534489200, 70
1570.6008821568700, 85
1570.9231061380400, 69
1571.2453253899800, 91
1571.5675399102300, 71
1571.8897496963700, 72
1572.2119547459400, 71
1572.5341550564900, 88
1572.8563506255900, 69
1573.1785414507900, 63
1573.5007275296500, 76
1573.8229088597200, 91
1574.1450854385500, 54
1574.4672572637200, 79
1574.7894243327600, 71
1575.1115866432400, 68
1575.4337441927200, 72
1575.7558969787500, 71
1576.0780449988800, 68
1576.4001882506800, 74
1576.7223267317100, 74
1577.0444604395100, 55
1577.3665893716500, 72
1577.6887135256900, 65
1578.0108328991800, 58
1578.3329474896700, 62
1578.6550572947400, 70
1578.9771623119300, 66
1579.2992625388100, 54
1579.6213579729200, 54
1579.9434486118400, 70
1580.2655344531100, 72
1580.587615494300, 74
1580.9096917329700, 73
1581.2317631666700, 60
1581.5538297929600, 63
1581.875891609400, 67
1582.1979486135600, 56
1582.5200008029800, 58
1582.8420481752400, 51
1583.1640907278800, 57
1583.4861284584700, 61
1583.8081613645700, 60
1584.1301894437300, 52
1584.4522126935200, 37
1584.774231111500, 51
1585.0962446952200, 49
1585.4182534422500, 41
1585.7402573501500, 56
1586.0622564164800, 62
1586.3842506387900, 43
1586.7062400146600, 48
1587.0282245416300, 43
1587.3502042172700, 32
1587.6721790391400, 42
1587.9941490048100, 49
1588.3161141118300, 48
1588.6380743577600, 33
1588.9600297401700, 38
1589.2819802566200, 45
1589.6039259046600, 44
1589.9258666818700, 29
1590.247802585800, 42
1590.5697336140100, 37
1590.8916597640700, 25
